arch,seed,seq_len,mae_c,rmse_c,bias_c,ssim,epochs_trained
era5_interp,0,6,1.6873637437820435,2.1511335372924805,0.6703246235847473,0.5783376728531218,0
era5_mean,0,6,1.8465158939361572,2.3651936054229736,0.6692636013031006,0.5786795223498866,0
era5_interp,0,12,1.6875437498092651,2.1513512134552,0.6698936223983765,0.5779996389237634,0
era5_mean,0,12,2.3699185848236084,2.979418992996216,0.6682060956954956,0.5768459370754061,0
